Japanese,English
sabishii,lonely
samishii,lonely
kowai,scary
itai,painful
kayui,itchy
kusai,stinky
tsurai,"painful, heart-breaking"
suru,to do
yaru,to do
iru,to exist [for animate objects]
aru,to exist [for inanimate objects]
naru,to become
okoru,to occur
okoru,"to rise, to flourish"
arawareru,to appear
ikiru,to live
umu,to give birth
shinu,to die
kowareru,to break
iku,to go
kuru,to come
kaeru,"to return, to come home, to go home"
kaeru,"to return, to come back, to go back"
aruku,to walk
tobu,"to jump, to fly"
oyogu,to swim
